order_id,order_date,customer_name,region,category,product,quantity,unit_price
ORD0001,2026-05-19,Whitney Thomas,North,Fashion,T-Shirt,2,4981
ORD0002,2025-07-03,John Burton,South,Home,Lamp,4,1678
ORD0003,2025-10-29,Melinda Chavez,South,Home,Lamp,4,1865
ORD0004,2026-03-15,Tina Rowe,South,Electronics,Laptop,1,2692
ORD0005,2026-02-07,Melissa Key,West,Fashion,Shoes,3,1078
ORD0006,2026-04-29,Juan Smith,West,Fashion,Shoes,2,798
ORD0007,2025-10-30,Michael Vaughn,South,Home,Chair,2,566
ORD0008,2025-09-22,Kaitlyn Black,South,Home,Table,4,2644
ORD0009,2026-05-07,Joshua Sweeney,North,Electronics,Mobile,3,1947
ORD0010,2025-12-14,Blake Atkinson,South,Fashion,Jeans,5,4174
ORD0011,2025-09-06,Francisco Paul,West,Fashion,T-Shirt,4,2001
ORD0012,2025-10-05,Daniel Mendoza,West,Home,Lamp,2,3295
ORD0013,2025-06-21,John Murray,South,Fashion,Jeans,4,2866
ORD0014,2026-02-05,Amy Erickson,North,Electronics,Headphones,1,2450
ORD0015,2025-12-20,Carolyn Wade,West,Electronics,Laptop,4,1691
ORD0016,2026-05-25,Tracy Sloan,East,Fashion,T-Shirt,5,4663
ORD0017,2025-06-30,Willie Lewis,North,Fashion,T-Shirt,1,2284
ORD0018,2025-11-08,Luis Knapp,West,Fashion,Shoes,4,748
ORD0019,2026-03-08,Rachel Jackson,North,Fashion,T-Shirt,3,2636
ORD0020,2026-02-15,Angel Gonzalez,East,Fashion,T-Shirt,5,2214
ORD0021,2026-03-19,Mrs. Carolyn Harrison DVM,South,Electronics,Laptop,1,3121
ORD0022,2025-09-16,Dominic Young,East,Fashion,Jeans,5,2800
ORD0023,2026-03-07,Randy Castro,North,Fashion,Shoes,4,2852
ORD0024,2025-09-23,William Patton,North,Home,Lamp,1,2074
ORD0025,2025-11-10,April Blake,East,Fashion,Shoes,1,629
ORD0026,2026-02-19,Victoria Taylor,North,Home,Chair,1,1093
ORD0027,2026-02-24,Stacy Montgomery,West,Home,Table,4,1373
ORD0028,2026-03-14,Margaret Steele,South,Electronics,Headphones,3,2198
